,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
Others but relevant to OM,"Separation and Extension of Cover Inequalities for Conic Quadratic Knapsack Constraints with Generalized Upper Bounds","Atamtuerk, Alper and Muller, Laurent Flindt and Pisinger, David","INFORMS JOURNAL ON COMPUTING","25","3","420-431","2013","SUM","Programming: Integer;Nonlinear;Convex;Constraints;Computational Analysis","","Motivated by addressing probabilistic 0-1 programs we study the conic quadratic knapsack polytope with generalized upper bound (GUB) constraints. In particular, we investigate separating and extending GUB cover inequalities. We show that, unlike in the linear case, determining whether a cover can be extended with a single variable NP-hard. We describe and compare a number of exact and heuristic separation and extension algorithms which make use of the structure of the constraints. Computational experiments are performed for comparing the proposed separation and extension algorithms. These experiments show that a judicious application of the extended GUB cover cuts can reduce the solution time of conic quadratic 0-1 programs with GUB constraints substantially."
,"Critically Loaded Time-Varying Multiserver Queues: Computational Challenges and Approximations","Ko, Young Myoung and Gautam, Natarajan","INFORMS JOURNAL ON COMPUTING","25","2","285-301","2013","SPR","Transient Analysis;Multiserver Queues;Nearly Critically Loaded;Uniform Acceleration;Strong Approximations","","In this paper, we consider time-varying multiserver queues with abandonment and retrials. For their performance analysis, fluid and diffusion limits utilizing strong approximations have been widely used in the literature. Although those limits are asymptotically exact, they may not accurately approximate performance of multiserver queues even if the number of servers is large. To address that concern, this paper focuses on developing a methodology by taking fluid and diffusion limits in a nontraditional fashion. We show that our approximation is significantly more accurate and also asymptotically true. We illustrate the effectiveness of our methodology by performing several numerical experiments."
,"An Improved Primal Simplex Algorithm for Degenerate Linear Programs","Elhallaoui, Issmail and Metrane, Abdelmoutalib and Desaulniers, Guy and Soumis, Francois","INFORMS JOURNAL ON COMPUTING","23","4","569-577","2011","FAL","Linear Programming;Primal Simplex Algorithm;Degeneracy","","Since its appearance in 1947, the primal simplex algorithm has been one of the most popular algorithms for solving linear programs. It is often very efficient when there is very little degeneracy, but it often struggles in the presence of high degeneracy, executing many pivots without improving the objective function value. In this paper, we propose an improved primal simplex algorithm that deals with this issue. This algorithm is based on new theoretical results that shed light on how to reduce the negative impact of degeneracy. In particular, we show that, from a nonoptimal basic solution with p positive-valued variables, there exists a sequence of at most m - p + 1 simplex pivots that guarantee the improvement of the objective value, where m is the number of constraints in the linear program. These pivots can be identified by solving an auxiliary linear program. Finally, we briefly summarize computational results that show the effectiveness of the proposed algorithm on degenerate linear programs."
,"Predicting the Solution Time of Branch-and-Bound Algorithms for Mixed-Integer Programs","Oezaltin, Osman Y. and Hunsaker, Brady and Schaefer, Andrew J.","INFORMS JOURNAL ON COMPUTING","23","3","392-403","2011","SUM","Solution Time Prediction;Mixed-Integer Programming;Branch-And-Bound Algorithm","","The most widely used progress measure for branch-and-bound (B&B) algorithms when solving mixed-integer programs (MIPs) is the MIP gap. We introduce a new progress measure that is often much smoother than the MIP gap. We propose a double exponential smoothing technique to predict the solution time of B&B algorithms and evaluate the prediction method using three MIP solvers. Our computational experiments show that accurate predictions of the solution time are possible, even in the early stages of B&B algorithms."
,"Decision Support and Optimization in Shutdown and Turnaround Scheduling","Megow, Nicole and Moehring, Rolf H. and Schulz, Jens","INFORMS JOURNAL ON COMPUTING","23","2","189-204","2011","SPR","Project Management;Planning;Scheduling;Resource Constraints;Risk Analysis;Applications;Large-Scale Systems;Chemical Industries","","Large-scale maintenance in industrial plants requires the entire shutdown of production units for disassembly, comprehensive inspection, and renewal. We derive models and algorithms for this so-called turnaround scheduling that include different features such as time-cost trade-off, precedence constraints, external resource units, resource leveling, different working shifts, and risk analysis. We propose a framework for decision support that consists of two phases. The first phase supports the manager in finding a good makespan for the turnaround. It computes an approximate project time-cost trade-off curve together with a stochastic evaluation. Our risk measures are the expected tardiness at time t and the probability of completing the turnaround within time t. In the second phase, we solve the actual scheduling optimization problem for the makespan chosen in the first phase heuristically and compute a detailed schedule that respects all side constraints. Again, we complement this by computing upper bounds for the same two risk measures. Our experimental results show that our methods solve large real-world instances from chemical manufacturing plants quickly and yield an excellent resource utilization. A comparison with solutions of a mixed-integer program on smaller instances proves the high quality of the schedules that our algorithms produce within a few minutes."
,"Emergent clustering methods for empirical OM research","Brusco, Michael J. and Steinley, Douglas and Cradit, J. Dennis and Singh, Renu","JOURNAL OF OPERATIONS MANAGEMENT","30","6","454-466","2012","SEP","Cluster Analysis;Multivariate Statistics;Empirical Research Methods","","To date, the vast majority of cluster analysis applications in OM research have relied on traditional hierarchical (e.g.. Ward's algorithm) and nonhierarchical (e.g., K-means algorithms) methods. Although these venerable methods should continue to be employed effectively in the OM literature, we also believe there is a significant opportunity to expand the scope of clustering methods to emergent techniques. We provide an overview of some alternative clustering procedures (including advantages and disadvantages), identify software programs for implementing them, and discuss the circumstances where they might be employed gainfully in OM research. The implementation of emergent clustering methods in the OM literature should enable researchers to offer implications for practice that might not have been uncovered with traditional methods. (C) 2012 Elsevier B.V. All rights reserved."
,"Creating value through returns management: Exploring the marketing-operations interface","Mollenkopf, Diane A. and Frankel, Robert and Russo, Ivan","JOURNAL OF OPERATIONS MANAGEMENT","29","5, SI","391-403","2011","JUL","Cross-Functional Integration;Customer Value;Returns Management;Marketing-Operations Interface","","Managing the return flow of product is increasingly recognized as a strategically important activity that involves decisions and actions within and across firms. We focus specifically on returns management at the marketing-operations interface, by utilizing the conceptualization of customer value and its related drivers. In order to explore the phenomenon of returns management across a multi-disciplinary, managerial spectrum, a qualitative research methodology relying on individual managers' perceptions was chosen to generate depth of understanding given the limited current understanding of the research topic under consideration. Our results suggest that functional integration at the marketing-operations interface can lead to better alignment of corporate resources and thus create higher levels of customer value. We also found the external business environment to impact how and why a firm creates customer value through the returns management process. Overall, our results suggest that when returns management is recognized as a matter of a firm's competitiveness, the joint role of operations and marketing is imperative to success. (C) 2010 Elsevier B.V. All rights reserved."
,"Operations management and corporate entrepreneurship: The moderating effect of operations control on the antecedents of corporate entrepreneurial activity in relation to innovation performance","Goodale, John C. and Kuratko, Donald F. and Hornsby, Jeffrey S. and Covin, Jeffrey G.","JOURNAL OF OPERATIONS MANAGEMENT","29","1-2, SI","116-127","2011","JAN","Operations Control;Corporate Entrepreneurship;Innovation","","Research on the topic of corporate entrepreneurship has expanded steadily over the last few decades, in large part due to the increasingly recognized linkages between product-market and technological innovation (i.e., consequences of corporate entrepreneurial activity) and firm success. Likewise, growing evidence suggests that effective operations control is a common quality of successful firms. On the surface the two phenomena corporate entrepreneurship and operations control may seem to be inherently at odds. That is, corporate entrepreneurship is aimed at taking the firm in new directions, while operations control is aimed at channeling and often restricting actions. As such, it would be useful to know how operations control variables act in concert with the determinants of corporate entrepreneurial activity to promote the innovation outcomes that facilitate long-term organizational success. In this study of 177 firms operating in a wide variety of industries, we investigate the effect on innovation performance of several commonly-acknowledged antecedents of corporate entrepreneurship, as measured by the Corporate Entrepreneurship Assessment Instrument (e.g., Hornsby et al., 2008, 2002); namely, management support, work discretion/autonomy, rewards/reinforcements, time availability, and organizational boundaries. More importantly, we examine the moderating effects of operations control variables specifically risk control and process control formality - on the relationships between the antecedents of corporate entrepreneurship and innovation performance. Results indicate that only two of the five antecedents to corporate entrepreneurship have main effects on innovation performance with moderate significance. However, each of the five antecedents significantly interacts with one or both of the operations control variables and, thereby, influences innovation performance. The implications of these results in relation to operations management and corporate entrepreneurship theory and practice are discussed. (C) 2010 Elsevier B.V. All rights reserved."
,"Pricing Time-Sensitive Services Based on Realized Performance","Afeche, Philipp and Baron, Opher and Kerner, Yoav","M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT","15","3","492-506","2013","SUM","Delay;Lead Times;Pricing;Queueing Systems;Revenue Management;Risk Aversion","","Services such as FedEx charge up-front fees but reimburse customers for delays. However, lead-time pricing studies ignore such delay refunds. This paper contributes to filling this gap. It studies revenue-maximizing tariffs that depend on realized lead times for a provider serving multiple time-sensitive customer types. We relax two key assumptions of the standard model in the lead-time pricing literature. First, customers may be risk averse (RA) with respect to payoff uncertainty, where payoff equals valuation, minus delay cost, minus payment. Second, tariffs may be arbitrary functions of realized lead times. The standard model assumes risk-neutral (RN) customers and restricts attention to flat rates. We report three main findings: (1) With RN customers, flat-rate pricing maximizes revenues but leaves customers exposed to payoff variability. (2) With RA customers, flat-rate pricing is suboptimal. If types are distinguishable, the optimal lead-time-dependent tariffs fully insure delay cost risk and yield the same revenue as under optimal flat rates for RN customers. With indistinguishable RA types, the differentiated first-best tariffs may be incentive-compatible even for uniform service, yielding higher revenues than with RN customers. (3) Under price and capacity optimization, lead-time-dependent pricing yields higher profits with less capacity compared to flat-rate pricing."
,"A Queueing Model to Evaluate the Impact of Patient Batching on Throughput and Flow Time in a Medical Teaching Facility","Dobson, Gregory and Lee, Hsiao-Hui and Sainathan, Arvind and Tilson, Vera","M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT","14","4, SI","584-599","2012","FAL","Tandem Queues;Concurrent Service;Finite Buffer;Batching;Flow Time Versus Throughput","","We consider the work flow in a medical teaching facility, examining the process that involves an initial patient exam by a resident physician, a subsequent conference between the resident and the attending physician, and the attending physician's visit with the patient. We create an analytical model of a tandem queue with finite buffer space to analyze the impact of different work prioritization policies on the throughput and the flow time of patients in the facility-measures that influence both the facility's finances and patients' satisfaction. We derive throughput-optimal policies and show that these policies involve dynamic batching. This finding is interesting because our model does not include any setup times, and setup times normally imply batching; rather it is the uncertain service times and the requirement for simultaneous service in the conference step that make batching optimal. The optimal dynamic batching policy is complex, so we consider a simpler static batching policy. We show that, in systems with limited buffer space, large batches can sometimes degrade efficiency by simultaneously increasing flow time and decreasing throughput. However, in general, both flow time and throughput increase with batch size. Flow time increases at a faster rate than throughput, so hospital management may want to consider what batch size is optimal given the value it places on the two measures."
