"A1","運輸系統設計與分析"
"A2","優化運輸模型"
"A3","駕駛者/旅行者/車流行為模型"
"A4","資訊技術與運輸系統"
"A5","運輸模型設計與分析"
"A6","時間預測與規劃"
"A7","等候理論"
"A8","運輸理論與方法其他問題"
"B1","交通政策"
"B2","交通基礎建設/城市交通規劃/公共運輸規劃"
"B3","運輸成本與訂價"
"B4","運輸服務品質"
"B5","策略"
"B6","運輸經濟與政策其他問題"
"C1","運輸網路交通指派"
"C2","最佳運輸路徑"
"C3","區位選擇"
"C4","網路演算法"
"C5","網路流量分析"
"C6","網路設計與分析"
"C7","網路其他問題"
"D1","交通事故預防與分析"
"D2","駕駛行為與安全分析"
"D3","其他安全問題"
"E1","供應鏈協同整合"
"E2","車輛途程問題"
"E3","存貨管理"
"E4","IT技術整合"
"E5","貨櫃相關問題"
"E6","其他物流問題"
"F1","災害應變"
"F2","綠色供應鏈"
"F3","能源管理/降低GHG排放/永續運輸"
"F4","運輸系統與環境的交互作用"
"F5","其他環境與能源問題"
"G1","Others but relevant to Transportation"
"H1","Not relevant"
