index,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
1,"The effective promotion of informal control in information systems offshoring projects","Wiener, Martin and Remus, Ulrich and Heumann, Jakob and Maehring, Magnus","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","6","569-587","2015","NOV","Is Offshoring;Project Performance;Organizational Control Theory;Informal Control;Control Promotion/Transmission","","As firms increasingly engage in interorganizational information systems (IS) projects, including IS offshoring projects, the challenge for client firms of effectively exercising control across organizational boundaries becomes critical. Although the importance of informal controls (clan and self-control) in this context has been recognized, prior research has focused primarily on formal controls. Consequently, our understanding of the use of clan and self-control in interorganizational IS projects is scarce, and partly inconsistent or contradictory. This study focuses the client's role in promoting informal controls in interorganizational projects involving distant client-vendor relationships as well as the effectiveness of such controls. We use matched-pair survey data from 86 IS offshoring projects involving client and vendor relationship managers. Our results show an interesting pattern: while clan control is considerably more difficult to promote than self-control in client-vendor project relationships, only clan control has a direct positive impact on project performance. Moreover, formal control modes, national cultural values, and project context factors moderate both the promotion and the effectiveness of informal controls. Our study's main contributions lie in establishing the relevance of the distinction between informal control given and received, and the importance of the client's role in promoting informal controls."
2,"Personal information management effectiveness of knowledge workers: conceptual development and empirical validation","Hwang, Yujong and Kettinger, William J. and Yi, Mun Y.","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","6","588-606","2015","NOV","Personal Information Management Effectiveness;Knowledge Management;Questionnaire Survey;Need-For-Cognition;Self-Efficacy;Job Performance","","What critical factors contribute to knowledge workers' effective information management and consequent job performance? This paper begins to address this important question by developing a conceptual definition of a new construct called personal information management effectiveness (PIME) and its constituent dimensions. Specifically, we theorize that PIME consists of two underlying dimensions: personal information management motivation (PIMM) and personal information management capability (PIMC). Synthesizing the extant literature on information management and information orientation, we further conceptualize PIMM as having four sub-dimensions of proactiveness, sharing, transparency, and formality, and PIMC as possessing five sub-dimensions of sensing, collecting, organizing, processing, and maintaining. Moreover, we develop a theoretical model that positions PIME as a mediator between two selected individual characteristics (IT self-efficacy and need-for-cognition) and job performance. New measures for PIME dimensions were developed and shown to have strong psychometric properties. The proposed model was empirically tested using data collected from 352 knowledge workers. As theorized, PIME was found to have significant effects on job performance (41%) and fully mediate the effects that the selected individual characteristics have on job performance. Responding to recent calls for advanced research on personal information management, the measures of PIMM and PIMC developed in this study have practical value as research and diagnostic tools and the findings provide useful insights to help organizations improve knowledge workers' information management practices."
3,"The impact of decision support system features on user overconfidence and risky behavior","Chen, Chi-Wen and Koufaris, Marios","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","6","607-623","2015","NOV","Decision Support Systems;Overconfidence;Risky Behavior;Competition;Choice;System Familiarity","","There is considerable research on how Decision Support Systems (DSSs) enable users to make better decisions. However, there is less focus on the possibility that some of their features may introduce biases and encourage suboptimal user behavior. We report on an experimental study that examines three DSS features that are generally considered beneficial to the user: the degree of choice the system provides to the user, the presence of competition among concurrent users, and the use of training to increase system familiarity. We hypothesize that the three DSS features may increase risky behavior (measured as the amount invested in a stock investment task with random outcomes) and overconfidence, conceptualized as the illusion of control, the phenomenon whereby people believe their chances of success at a task are greater than would be warranted by objective analysis. Our results confirm the effects of the three DSS features on risky behavior but only degree of choice impacts overconfidence. Moreover, overconfidence does not appear to mediate the impact of the DSS features on risky behavior. Finally, we hypothesize and confirm that, controlling for the effect of actual performance, overconfidence increases user satisfaction with the decision-making process and outcome."
4,"The role of privacy assurance mechanisms in building trust and the moderating role of privacy concern","Bansal, Gaurav and Zahedi, Fatemeh 'Mariam' and Gefen, David","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","6","624-644","2015","NOV","Information Privacy Concern;Trust;Elaboration Likelihood Model;Privacy Policy Statements;Privacy Assurance Cues","","Privacy policy statements and privacy assurance cues are among the most important website features that online providers use to increase individuals' trust and willingness to disclose private information online. The focus of this study is a comprehensive examination of the process by which privacy assurance mechanisms influence trust and the moderating role of privacy concern in this process. We use the lens of the Elaboration Likelihood Model to investigate the way different individuals perceive and process privacy assurance mechanisms. We argue that the trust-enhancing role of these mechanisms depends on the individual's privacy concern. The results of this study articulate the process by which various privacy assurance mechanisms operate in enhancing an individual's trust, and show that there are distinct behavioral differences between individuals with high-vs low-privacy concern when forming their trust to disclose private information. The paper sheds new light on the role of elaboration in the trust building process, and shows why privacy assurance mechanisms have different impacts depending on individuals' privacy concerns."
5,"Flexible generification: ICT standardization strategies and service innovation in health care","Hanseth, Ole and Bygstad, Bendik","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","6","645-663","2015","NOV","Information Infrastructure;Standardization;Service Innovation;Health Care","","Standards have played an important but often unrecognized role in the development ofmodern organizations. This role is accentuated by today's growth of large business and government infrastructures, in the turbulent processes of globalization. In this paper, we investigate the relationships - and tensions - between standardization strategies and service innovation in the health-care sector. Our empirical material is seven longitudinal case studies in the Norwegian health-care sector, collected and analysed over a period of 20 years. We identify three generic standardization strategies; anticipatory standardization, integrated solutions and flexible generification. We argue that the first two strategies do not support service innovation while the strategy of flexible generification does so. We consider our results important for the evolution of the future ICT-enabled service economy."
6,"Theoretical perspectives in IS research: from variance and process to conceptual latitude and conceptual fit","Burton-Jones, Andrew and McLean, Ephraim R. and Monod, Emmanuel","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","6","664-679","2015","NOV","Theory;Methodology;Process;Variance;System;Epistemology","","There has been growing interest in theory building in Information Systems (IS) research. We extend this literature by examining theory building perspectives. We define a perspective as a researcher's choice of the types of concepts and relationships used to construct a theory, and we examine three perspectives process, variance, and systems. We contribute by clarifying these perspectives and explaining how they can be used more flexibly in future research. We illustrate the value of this more flexible approach by showing how researchers can use different theoretical perspectives to critique and extend an existing theoretical model (in our case, the IS Success Model). Overall, we suggest a shift from the traditional process-variance dichotomy to a broader view defined by conceptual latitude (the types of concepts and relationships available) and conceptual fit (the types of concepts and relationships appropriate for a given study). We explain why this shift should help researchers as they engage in the knowledge generation process."
7,"Giving too much social support: social overload on social networking sites","Maier, Christian and Laumer, Sven and Eckhardt, Andreas and Weitzel, Tim","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","5","447-464","2015","SEP","It Continuance;Dark Side Of It;Negative Consequence Of It Usage;Technostress;Satisfaction;Social Media","","As the number of messages and social relationships embedded in social networking sites (SNS) increases, the amount of social information demanding a reaction from individuals increases as well. We observe that, as a consequence, SNS users feel they are giving too much social support to other SNS users. Drawing on social support theory (SST), we call this negative association with SNS usage 'social overload' and develop a latent variable to measure it. We then identify the theoretical antecedents and consequences of social overload and evaluate the social overload model empirically using interviews with 12 and a survey of 571 Facebook users. The results show that extent of usage, number of friends, subjective social support norms, and type of relationship (online-only vs offline friends) are factors that directly contribute to social overload while age has only an indirect effect. The psychological and behavioral consequences of social overload include feelings of SNS exhaustion by users, low levels of user satisfaction, and a high intention to reduce or even stop using SNS. The resulting theoretical implications for SST and SNS acceptance research are discussed and practical implications for organizations, SNS providers, and SNS users are drawn."
8,"Six types of IT-business strategic alignment: an investigation of the constructs and their measurement","Gerow, Jennifer E. and Thatcher, Jason Bennett and Grover, Varun","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","5","465-491","2015","SEP","Alignment;It-Business Strategic Alignment;Intellectual;Operational;Cross-Domain","","Top management has been concerned with IT-business strategic alignment (hereafter referred to as alignment) for the past 30 years. Consequently, alignment researchers have developed many models to explain how alignment generates value for firms. However, these models use inconsistent definitions and measures of alignment, which has led to conflicting results and has potentially inhibited the progress of research on this critical topic. This paper emphasizes the importance of demarcating the six alignment types that are sometimes confused in the literature into a single, unified model. It also reports on the development of definitions and measures of these six types of alignment including alignment between IT and business strategies (i.e., intellectual alignment), between IT and business infrastructures and processes (i.e., operational alignment), and across these two domains such that strategies are linked with infrastructures and processes (i.e., four types of cross-domain alignment). Analyzing survey data collected from 140 Chief Information Officers, we found each measure possesses desirable psychometric properties. Implications for theory and practice are discussed."
9,"Determinants of software piracy under risk aversion: a model with empirical evidence","Driouchi, Ahmed and Wang, Mingzhu and Driouchi, Tank","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","5","519-530","2015","SEP","Software Piracy;Determinants;Risk Aversion;Policy","","This paper studies the determinants of software piracy in world economies from a risk avoidance perspective. A risk aversion model for the commercialization of pirated software is developed to account for behavioral elements of risk and uncertainty avoidance among countries' software pirates (i.e., counterfeiters and suppliers) and test empirically for the effects of country characteristics on piracy levels. Panel regression analysis is conducted to identify the determinants of software piracy using this model on a data set of 87 countries during 2007-2011. The empirical results confirm those obtained in prior research (e.g., the inverted U-shaped relationship between GDP per capita and piracy rates) but divulge that the behavioral-country component capturing the attitudes towards risk of software pirates improves the explanatory power of the statistical regressions after controlling for country performance and institutional factors. We also show that human development and good country governance reduce piracy rates. Besides providing support for our risk aversion-based piracy model and hinting at the need to consider population behavior in policy-making, these findings underline the relevance of human development and country institutions in explaining software piracy rates."
10,"Using quantitative data in mixed-design grounded theory studies: an enhanced path to formal grounded theory in information systems","Walsh, Isabelle","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","5","531-557","2015","SEP","Classic Grounded Theory;Mixed Methods;Typological Approach;Research Design;Rupture Theorizing","","This article discusses a key development in the use of grounded theory (GT) in information systems (IS) - the use of quantitative data in mixed studies to build on and elaborate theories. We examine the design of one of our research projects and describe how this mixed-design GT project helped elaborate emerging theories using slices of qualitative and quantitative data. Our contributions are threefold: (i) we show that the use of mixed data and techniques can be leveraged to help build credible theories in IS because it allows researchers to build theories of greater abstraction and scope: it helps sense-making in the drive from substantive to parsimonious formal theories; (ii) in line with classic GT, we propose a mixed typological design to help build a pathway to formal grounded theories in rupture with existing literature; and (iii) we highlight GT as a meta-theory of research design and revisit some of its main principles in a mixed-design perspective."
