index,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
1,"The Foresight Effect: Local Optimism Motivates Consistency and Local Pessimism Motivates Variety","Yang, Adelle X. and Urminsky, Oleg","JOURNAL OF CONSUMER RESEARCH","42","3","361-377","2015","OCT","Local Optimism And Pessimism;Self-Continuity;Sequential Choice Consistency;Sequential Variety Seeking;Novel Product Adoption","","Consumers sometimes prefer to repeat their past choices; at other times the same consumer prefers to try something new. We demonstrate that a consumers' situational future outlook, that is, local optimism or pessimism about an imminent outcome, can systematically affect the sequential consistency of consumer choices. Specifically, local optimism increases sequential choice consistency, whereas local pessimism increases sequential variety seeking. We test this foresight effect in two experimental paradigms, using both real and hypothetical consumer choices, across six studies. We first establish the basic effect of situational future outlook on sequential choice consistency (studies 1 and 2). Then we provide evidence that differences in the preference for self-continuity underlie the effect (studies 3, 4, and 5). Last, we extend this effect to choices between broadly defined usual and novel consumer products (study 6). Across the studies, we rule out differences in mood, causal attribution, and perceived control as alternative explanations. These findings have theoretical implications on the relationship between future-oriented cognition and consumer behaviors, as well as broad managerial implications for when consumers will be more apt to repeat past purchases or more open to novel product adoption."
2,"Dominant Consumption Rituals and Intragroup Boundary Work: How Non-Celebrants Manage Conflicting Relational and Identity Goals","Weinberger, Michelle F.","JOURNAL OF CONSUMER RESEARCH","42","3","378-400","2015","OCT","Ritual;Symbolic Boundaries;Identity;Consumer Culture Theory","","Through collective engagement in consumption rituals, group members reinforce intragroup relationships and the boundaries of the group. Yet, paradoxically, as intragroup diversity increases, dominant rituals deployed for this relational work, can run counter to the ideologically rooted identities of some members. Using a sociological lens, this article focuses on the complexities of not celebrating a dominant collective consumption ritual by focusing on people who do not celebrate Christmas in America. The qualitative data analysis finds that non-celebrants use a set of ritual strategies that are grounded in their conflicting goals of protecting their ideologically rooted identities but also doing relational work with celebrators. It shows how non-celebrants deploy consumptive elements of the dominant ritual as symbolic resources to enact each strategy, foregrounding or backgrounding the symbolic boundary between themselves and celebrators. Beyond the context, contributions to the study of symbolic boundaries, identity politics, and collective consumption rituals are discussed."
3,"Cross-Domain Effects of Guilt on Desire for Self-Improvement Products","Allard, Thomas and White, Katherine","JOURNAL OF CONSUMER RESEARCH","42","3","401-419","2015","OCT","Guilt;Negative Emotions;Self-Improvement;Self-Motives;Self-Standards;Consumption;Compensatory Consumption","","This research examines the notion that guilt, the negative emotion stemming from a failure to meet a self-held standard of behavior, leads to preferences for products enabling self-improvement, even in domains unrelated to the original source of the guilt. Examining consumer responses to real products, this research shows that such effects arise because guilt-by its focus on previous wrongdoings-activates a general desire to improve the self. This increase in desire for self-improvement products is only observed for choices involving the self (not others), is not observed in response to other negative emotions (e.g., shame, embarrassment, sadness, or envy), and is mitigated when people hold the belief that the self is nonmalleable. Building on past work that focuses on how guilt often leads to the motivation to alleviate feelings of guilt either directly or indirectly, the current research demonstrates an additional, novel downstream consequence of guilt, showing that only guilt has the unique motivational consequence of activating a general desire to improve the self, which subsequently spills into other domains and spurs self-improving product choices. These findings are discussed in light of their implications for research on the distinct motivational consequences of specific emotions and on consumer well-being."
4,"The Mere-Reaction Effect: Even Nonpositive and Noninformative Reactions Can Reinforce Actions","Hsee, Christopher K. and Yang, Yang and Ruan, Bowen","JOURNAL OF CONSUMER RESEARCH","42","3","420-434","2015","OCT","Reaction;Motivation;Reinforcement;Valence;Contingency;Control;Heuristic;Overgeneralization;Product Design","","Prior research indicates that a stimulus can reinforce an action if the stimulus is a reward (i.e., a priori positive) or carries useful information. The current research finds that if a stimulus is perceived as a reaction to an action, it can reinforce the action even if the stimulus is a priori nonpositive and noninformative. Mere reactions are reinforcing. Specifically, eight experiments, including a field experiment, demonstrate that individuals are more likely to repeat an action (e.g., insertingmoney in a donation box or typing a message in a textbox) if the action is followed by a stimulus (e.g., the emission of a sound or the flash of an image) than if it is not, even if the stimulus is a priori negative (e.g., an annoying sound or an aversive image) and carries no useful information. Moreover, the effect just described will occur only if the stimulus is contingent on (immediately follows) the action and perceived as a reaction to the action. Finally, by serving as a reaction, an a priori nonpositive stimulus can become positive. The present work yields theoretical implications for stimulus-response relationships and practical implications for designs of consumer products and loyalty programs."
5,"Spending on Daughters versus Sons in Economic Recessions","Durante, Kristina M. and Griskevicius, Vladas and Redden, Joseph P. and White, Andrew Edward","JOURNAL OF CONSUMER RESEARCH","42","3","435-457","2015","OCT","Parental Decision Making;Family Spending;Economic Recessions;Evolutionary Psychology","","Although parents often try not to favor one child, we examine whether specific environmental factors might bias parents to favor children of one sex over the other. This research draws on theory in evolutionary biology suggesting that investment in female versus male offspring depends on resource availability. Applying this to consumers, a series of experiments show that poor economic conditions favor resource allocations to daughters over sons. For example, poor conditions led people to bequeath more assets to girls in their will, and to choose girls to receive a US Treasury bond and a beneficial extracurricular activity. It is proposed that this happens because spending on children represents a reproductive investment, and that boys' and girls' relative reproductive value varies with economic conditions. Supporting this account, perceptions of which child will have more children statistically mediates the effect of economic conditions on preferences for girls. Consequently, the effect is strengthened as a child approaches reproductive age, and it is moderated by individual differences (risk aversion and monogamy) directly related to our theoretical model. This research contributes to the consumer behavior literature by revealing how, why, and when environmental factors influence spending on girls versus boys."
6,"On the Persuasiveness of Similar Others: The Role of Mentalizing and the Feeling of Certainty","Faraji-Rad, Ali and Samuelsen, Bendik M. and Warlop, Luk","JOURNAL OF CONSUMER RESEARCH","42","3","458-471","2015","OCT","Persuasion;Source Similarity;Feeling As Information;Feeling Of Certainty","","Prior literature has proposed two process explanations for the positive effect of source similarity (i.e., similarity between adviser and advice taker) on persuasion. One explanation is that similar others are perceived to have preferences that are correlated with one's own, and this makes their advice more diagnostic. The other is that similar others are liked more so people follow their advice to maintain connectedness with them. We propose a more general explanation that incorporates the advice taker's processing goals. To process any advice, advice takers activate a mentalizing goal, which is to understand the adviser's mental states. Similarity creates a perception of such an understanding and induces a feeling of certainty (i.e., a feeling of knowing) that validates the advice as a decision input and increases persuasion. A mentalizing explanation accounts for the effect even when similarity cannot lead to perceptions of correlated preferences or to interpersonal liking. Four studies show that the effect attenuates if advice takers are less likely to mentalize, are already primed to feel certain, or misattribute their feeling of certainty to a source other than the advice. Furthermore, the feeling of certainty emanating from similarity even influences decisions unrelated to the advice."
7,"Status, Caste, and Market in a Changing Indian Village","Vikas, Ram Manohar and Varman, Rohit and Belk, Russell W.","JOURNAL OF CONSUMER RESEARCH","42","3","472-498","2015","OCT","Status;Symbolic Power;Marketization;Sharing;Caste","","When social and economic conditions change dramatically, status hierarchies in place for hundreds of years can crumble as marketization destabilizes once rigid boundaries. This study examines such changes in symbolic power through an ethnographic study of a village in North India. Marketization and accompanying privatization do not create an independent sphere where only money matters, but due to a mix of new socioeconomic motives, they produce new social obligations, contests, and solidarities. These findings call into question the emphasis in consumer research on top-down class emulation as an essential characteristic of status hierarchies. This study offers insights into sharing as a means of enacting and reshaping symbolic power within a status hierarchy. A new order based on markets and consumption is disrupting the old order based on caste. As the old moral order dissolves, so do the old status hierarchies, obligations, dispositions, and norms of sharing that held the village together for centuries. In the microcosm of these gains and losses, we may see something of the broader social and economic changes taking place throughout India and other industrializing countries."
8,"Pride and Regulatory Behavior: The Influence of Appraisal Information and Self-Regulatory Goals","Salerno, Anthony and Laran, Juliano and Janiszewski, Chris","JOURNAL OF CONSUMER RESEARCH","42","3","499-514","2015","OCT","Pride;Self-Conscious Emotions;Appraisal Information;Goals;Self-Regulation","","Prior research has demonstrated that while people experience pride after an accomplishment, its experience can both encourage and discourage subsequent regulatory behavior. The current research shows that this seemingly contradictory influence can be accounted for by considering the information about the event that generated the pride (i.e., appraisal information) and whether or not a self-regulatory goal is active. In the absence of a self-regulatory goal, appraisal information concerning the locus of control (e.g., I contributed to this achievement; it was not luck) can be used to make positive inferences about one's self-concept that reinforce further self-regulation. In the presence of a self-regulatory goal, appraisal information concerning personal agency (e.g., This was my achievement, not someone else's achievement) can be used to make positive inferences about one's progress toward self-regulation that, in turn, licenses indulgence. Thus appraisal information and the presence of self-regulatory goals is critical to how a self-conscious emotion like pride influences subsequent behavior. Implications and potential extensions in the areas of self-conscious emotions, goals, and self-regulation are discussed."
9,"The Value of Time","Festjens, Anouk and Janiszewski, Chris","JOURNAL OF CONSUMER RESEARCH","42","2","178-195","2015","AUG","Time;Value Function;Marginal Utility;Resource Valuation;Riskless Choice","","Ten studies are used to document that time is valued in accordance with a double-kinked value function. There is a zone of indifference for small time gains (losses), increasing marginal utility (disutility) for moderate time gains (losses), and diminishing marginal utility (disutility) for large time gains (losses). Moderate amounts of time exhibit increasing marginal utility (disutility) because larger blocks of time provide a more diverse set of usage opportunities. It is only when it is difficult to imagine how more (less) time would be beneficial (detrimental) that there is diminishing marginal utility (disutility) for time. Thus time valuation shows increasing marginal utility when there is a time deficit, but diminishing marginal utility when there is a time surplus. These findings have implications for how other resources might be valued."
10,"Turning to Space: Social Density, Social Class, and the Value of Things in Stores","O'Guinn, Thomas Clayton and Tanner, Robin J. and Maeng, Ahreum","JOURNAL OF CONSUMER RESEARCH","42","2","196-213","2015","AUG","Crowding;Space;Class","","This article is about social space and material objects for sale within that space. We draw primarily on Goffman's (1971) concepts of use space and possession territories to predict that as the social density of a given space increases, inferences of the subjective social class and income of people in that space fall. Eight studies confirm that this is indeed the case, with the result holding even for stick figures, thus controlling for typical visual indicators of social class such as clothing or jewelry. Furthermore, these social class inferences mediate a relationship between social density and product valuation, with individuals assessing both higher prices and a greater willingness to pay for products presented in less crowded contexts. This effect of inferred class on product valuation is explained by status-motivated individuals' desire to associate with higher-status people. To the best of our knowledge, this research is the first to reveal the link between social density, status inferences, and object valuations. As such, it makes a novel contribution to what has come to be known in sociology as the topological turn: a renewed focus on social space."
