index,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
1,"The Recoverable Robust Two-Level Network Design Problem","Alvarez-Miranda, Eduardo and Ljubic, Ivana and Raghavan, S. and Toth, Paolo","INFORMS JOURNAL ON COMPUTING","27","1","1-19","2015","WIN","Network Design;Robust Optimization;Mixed-Integer Programming;Branch And Cut","","We consider a network design application that is modeled as the two-level network design problem under uncertainty. In this problem, one of the two available technologies can be installed on each edge and all customers of the network need to be served by at least the lower level (secondary) technology. The decision maker is confronted with uncertainty regarding the set of primary customers, i.e., the set of nodes that need to be served by the higher level (primary) technology. A set of discrete scenarios associated with the possible realizations of primary customers is available. The network is built in two stages. In the first stage the network topology must be determined. One may decide to install the primary technology on some of the edges in the first stage, or one can wait to see which scenario will be realized, in which case, edges with the installed secondary technology may be upgraded, if necessary to primary technology, but at higher recovery cost. The overall goal then is to build a recoverable robust spanning tree in the first stage that serves all customers by at least the lower level technology, and that minimizes the first-stage installation cost plus the worst-case cost needed to upgrade the edges of the selected tree, so that the primary customers of each scenario can be served using the primary technology. We discuss the complexity of the problem, provide mixed-integer programming models, and develop a branch-and-cut algorithm to solve it. Our extensive computational experiments demonstrate the efficacy of our approach."
2,"Statistical Database Auditing Without Query Denial Threat","Lu, Haibing and Vaidya, Jaideep and Atluri, Vijayalakshmi and Li, Yingjiu","INFORMS JOURNAL ON COMPUTING","27","1","20-34","2015","WIN","Statistical Database;Privacy;Auditing;Query Denial;Optimization","","Statistical database auditing is the process of checking aggregate queries that are submitted in a continuous manner, to prevent inference disclosure. Compared to other data protection mechanisms, auditing has the features of flexibility and maximum information. Auditing is typically accomplished by examining responses to past queries to determine whether a new query can be answered. It has been recognized that query denials release information and can cause data disclosure. This paper proposes an auditing mechanism that is free of query denial threat and applicable to mixed types of aggregate queries, including sum, max, min, deviation, etc. The core ideas are (i) deriving the complete information leakage from each query denial and (ii) carrying the complete leaked information derived from past answered and denied queries to audit each new query. The information leakage deriving problem can be formulated as a set of parametric optimization programs, and the whole auditing process can be modeled as a series of convex optimization problems."
3,"Column-Generation Framework of Nonlinear Similarity Model for Reconstructing Sibling Groups","Chou, Chun-An and Liang, Zhe and Chaovalitwongse, Wanpracha Art and Berger-Wolf, Tanya Y. and DasGupta, Bhaskar and Sheikh, Saad and Ashley, Mary V. and Caballero, Isabel C.","INFORMS JOURNAL ON COMPUTING","27","1","35-47","2015","WIN","Column Generation;Branch And Price;Set-Covering Problem;Mixed-Integer Programming;Computational Biology;Sibling Reconstruction","","Establishing family relationships, such as parentage and sibling relationships, is fundamental in biological research, especially in wild species, as they are often important to understanding evolutionary, ecological, and behavioral processes. Because it is commonly impossible to determine familial relationships from field observations alone, the reconstruction of sibling relationships often depends on informative genetic markers coupled with accurate sibling reconstruction algorithms. Most studies in the literature reconstruct sibling relationships using methods that are based on either statistical analyses (i.e., likelihood estimation) or combinatorial concepts (i.e., Mendelian inheritance laws) of genetic data. We present a novel computational framework that integrates both combinatorial concepts and statistical analyses into one sibling reconstruction optimization model. To solve this integrated model, we propose a column-generation approach with a branch-and-price method. Under the assumption of parsimonious reconstruction, the master problem is to find the minimum set of sibling groups to cover the tested population. Pricing subproblems, which include both statistical similarity and combinatorial concepts of genetic data, are iteratively solved to generate high-quality sibling group candidates. Tested on real biological data sets, our approach efficiently provides reconstruction results that are more accurate than those provided by other state-of-the-art reconstruction algorithms."
4,"A Cutting-Plane Neighborhood Structure for Fixed-Charge Capacitated Multicommodity Network Design Problem","Yaghini, Masoud and Karimi, Mohammad and Rahbar, Mohadeseh and Sharifitabar, Mohammad Hassan","INFORMS JOURNAL ON COMPUTING","27","1","48-58","2015","WIN","Fixed-Charge Capacitated Multicommodity Network Design;Cutting-Plane Neighborhood;Tabu Search;Design Of Experiments","","In this paper, a cutting-plane neighborhood structure is proposed for the fixed-charge capacitated multicommodity network design (CMND) problem. In the proposed structure, different strategies are used to select an open arc in the incumbent solution to be closed. Then a linear programming (LP) model is generated on the basis of the modified incumbent solution by relaxing binary variables and adding new constraints. The generated LP solution is improved using different cutting-plane inequalities. Subsequently, a new sub-mixed integer programming (MIP) model is created by fixing a number of variables in the generated LP solution. Then the local branching algorithm is used to solve the sub-MIP model and its solution is considered as a neighboring solution. A tabu search algorithm is used to evaluate the proposed neighborhood structure. To tune the parameters of the tabu search algorithm, we have used the design of experiments method. Standard problems with different sizes are employed to evaluate the proposed tabu search algorithm. Results show the efficiency and effectiveness of the tabu search algorithm compared to the best methods found in the literature."
5,"Algorithmic Approach for Improved Mixed-Integer Reformulations of Convex Generalized Disjunctive Programs","Trespalacios, Francisco and Grossmann, Ignacio E.","INFORMS JOURNAL ON COMPUTING","27","1","59-74","2015","WIN","Generalized Disjunctive Programming;Mixed-Integer Nonlinear Programming","","In this work, we propose an algorithmic approach to improve mixed-integer models that are originally formulated as convex generalized disjunctive programs (GDPs). The algorithm seeks to obtain an improved continuous relaxation of the mixed-integer linear and mixed-integer nonlinear programming (MILP/MINLP) model reformulation of the GDP while limiting the growth in the problem size. There are three main stages that form the basis of the algorithm. The first one is a presolve, consequence of the logic nature of GDP, which allows us to reduce the problem size, find good relaxation bounds, and identify properties that help us determine where to apply a basic step. The second stage is the iterative application of basic steps, selecting where to apply them and monitoring the improvement of the formulation. Finally, we use a hybrid reformulation of GDP that seeks to exploit both of the advantages attributed to the two common GDP-to-MILP/MINLP transformations, the Big-M, and the Hull reformulation. We illustrate the application of this algorithm with several examples. The results show the improvement in the problem formulations by generating models with improved relaxed solutions and relatively small growth of continuous variables and constraints. The algorithm generally leads to reduction in the solution times."
6,"On Bounding the Bandwidth of Graphs with Symmetry","van Dam, E. R. and Sotirov, R.","INFORMS JOURNAL ON COMPUTING","27","1","75-88","2015","WIN","Bandwidth;Minimum Cut;Semidefinite Programming;Hamming Graphs;Johnson Graphs;Kneser Graphs","","We derive a new lower bound for the bandwidth of a graph that is based on a new lower bound for the min-cut problem. Our new semidefinite programming relaxation of the min-cut problem is obtained by strengthening the known semidefinite programming relaxation for the quadratic assignment problem (or for the graph partition problem) by fixing two vertices in the graph; one on each side of the cut. Fixing results in several smaller subproblems that need to be solved to obtain the new bound. To efficiently solve these subproblems we exploit symmetry in the data; that is, both symmetry in the min-cut problem and symmetry in the graphs. To obtain upper bounds for the bandwidth of graphs with symmetry, we develop a heuristic approach based on the well-known reverse Cuthill-McKee algorithm, and that improves significantly its performance on the tested graphs. Our approaches result in the best known lower and upper bounds for the bandwidth of all graphs under consideration, i.e., Hamming graphs, 3-dimensional generalized Hamming graphs, Johnson graphs, and Kneser graphs, with up to 216 vertices."
7,"Solving Hierarchical Stochastic Programs: Application to the Maritime Fleet Renewal Problem","Pantuso, Giovanni and Fagerholt, Kjetil and Wallace, Stein W.","INFORMS JOURNAL ON COMPUTING","27","1","89-102","2015","WIN","Multistage Mixed-Integer Stochastic Programming;Fleet Planning","","This paper presents a solution scheme for a class of multistage stochastic programs (possibly mixed-integer at all stages) in which a hierarchy of decisions emerges. A special structure, common to many strategic problems affected by uncertainty, allows decomposing the problem into a master problem and many independent linear programming subproblems, facilitating the isolation and reduction of the complicating mixed-integer component of the problem. Specialized (possibly heuristic) procedures can be used for solving the master problem while subproblems can be efficiently solved to optimality. We adapt and test the decomposition scheme for a case of the maritime fleet renewal problem, whose real life instances cannot be solved by means of commercial off-the-shelf solvers."
8,"Maintaining Secure and Reliable Distributed Control Systems","Sleptchenko, Andrei and Johnson, M. Eric","INFORMS JOURNAL ON COMPUTING","27","1","103-117","2015","WIN","Reliability;Maintenance-Repairs;Queues;Priority;Queues;Optimization;Probability;Stochastic Model Applications;Probability;Markov Processes","","We consider the role of security in the maintenance of an automated system, controlled by a network of sensors and simple computing devices. Such systems are widely used in transportation, utilities, healthcare, and manufacturing. Devices in the network are subject to traditional failures that can lead to a larger system failure if not repaired. However, the devices are also subject to security breaches that can also lead to catastrophic system failure. These security breaches could result from either cyber attacks (such as viruses, hackers, or terrorists) or physical tampering. We formulate a stochastic model of the system to examine the repair policies for both real and suspected failures. We develop a linear programming-based model for optimizing repair priorities. We show that, given the state of the system, the optimal repair policy follows a unique threshold indicator (either work on the real failures or the suspected ones). We examine the behavior of the optimal policy under different failure rates and threat levels. Finally, we examine the robustness of our model to violations in the underlying assumptions and find the model remains useful over a range of operating assumptions."
9,"A Computational Study of Exact Approaches for the Bi-Objective Prize-Collecting Steiner Tree Problem","Leitner, Markus and Ljubic, Ivana and Sinnl, Markus","INFORMS JOURNAL ON COMPUTING","27","1","118-134","2015","WIN","Bicriteria;Optimization;Mixed-Integer Programming;Is An Element Of-Constraint Method;Two-Phase Method;Chebyshev Norm Method","","We introduce the bi-objective prize-collecting Steiner tree problem, whose goal is to find a subtree considering the conflicting objectives of minimizing the edge costs for building that tree, and maximizing the collected node revenues. We consider five iterative mixed-integer programming (MIP) frameworks that identify the complete Pareto front, i.e., one efficient solution for every point on the Pareto front. More precisely, the following methods are studied: an is an element of-constraint method, a two-phase method, a binary search in the objective space, a weighted Chebyshev norm method, and a method of Sylva and Crema. We also investigate how to exploit and recycle information gained during these iterative MIP procedures to accelerate the solution process. We consider (i) additional strengthening valid inequalities, (ii) procedures for initializing feasible solutions (using a solution pool), (iii) procedures for recycling violated cuts (using a cut pool), and (iv) guiding the branching process by previously detected Pareto optimal solutions. This work is a first study on exact approaches for solving the bi-objective prize-collecting Steiner tree problem. Standard benchmark instances from the literature are used to assess the efficacy of the proposed methods."
10,"A Strong Preemptive Relaxation for Weighted Tardiness and Earliness/Tardiness Problems on Unrelated Parallel Machines","Sen, Halil and Bulbul, Kerem","INFORMS JOURNAL ON COMPUTING","27","1","135-150","2015","WIN","Unrelated Parallel Machines;Weighted Tardiness;Weighted Earliness And Tardiness;Preemptive Relaxation;Benders Decomposition;Transportation Problem;Lower Bound;Heuristic","","Research on due date-oriented objectives in the parallel machine environment is at best scarce compared to objectives such as minimizing the makespan or the completion time-related performance measures. Moreover, almost all existing work in this area is focused on the identical parallel machine environment. In this study, we leverage on our previous work on the single machine total weighted tardiness (TWT) and total weighted earliness/tardiness (TWET) problems and develop a new preemptive relaxation for both problems on a bank of unrelated parallel machines. The key contribution of this paper is devising a computationally effective Benders decomposition algorithm to solve the preemptive relaxation formulated as a mixed-integer linear program. The optimal solution of the preemptive relaxation provides a tight lower bound. Moreover, it offers a near-optimal partition of the jobs to the machines. We then exploit recent advances in solving the nonpreemptive single-machine TWT and TWET problems for constructing nonpreemptive solutions of high quality to the original problem. We demonstrate the effectiveness of our approach with instances of up to five machines and 200 jobs."
